unique_work_order_no,create_date_raw,equipment_asset_no,datetime_open_raw,datetime_closed_raw,vendor_id,vendor_name,clean_work_order_key,maintenance_vehicle_key,maintenance_vendor_key,clean_labor_cost,clean_parts_cost,clean_commercial_cost,clean_total_cost,clean_record_status,alteryx_processed_at,source_table,source_record_id,asset_no,vehicle_id,clean_vehicle_key,clean_vendor_key
WO-2026-001931,2026-01-26 02:05:00,10062,2026-01-27 10:05:00,2026-01-31 10:05:00,V9347,QuickFuel,WO-2026-001931,10062,V9347,2256.89,1752.56,0.00,4009.45,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-001931,10062,VH-10062,VH-10062,V9347
WO-2025-003142,2024-02-29 11:05:00,10096,2024-03-01 19:05:00,2024-03-09 06:05:00,V2066,Reliable Truck Service,WO-2025-003142,10096,V2066,1727.54,321.11,1157.34,3205.99,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-003142,10096,VH-10096,VH-10096,V2066
WO-2024-003060,2026-02-15 14:20:00,10096,2026-02-15 20:20:00,2026-02-19 14:20:00,V2006,City Wide Tire and Brake,WO-2024-003060,10096,V2006,3104.60,1924.15,1133.17,6161.92,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-003060,10096,VH-10096,VH-10096,V2006
WO-2024-003429,2025-01-09 23:15:00,10096,2025-01-11 18:15:00,2025-01-20 10:15:00,V2039,Premier Collision Center,WO-2024-003429,10096,V2039,590.63,761.57,1152.28,2504.48,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-003429,10096,VH-10096,VH-10096,V2039
WO-2024-001512,2024-12-05 13:15:00,10096,2024-12-06 08:15:00,2024-12-11 23:15:00,V2047,Precision Hydraulics,WO-2024-001512,10096,V2047,2762.37,1779.86,0.00,4542.23,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-001512,10096,VH-10096,VH-10096,V2047
WO-2024-000555,2025-06-25 22:10:00,10096,2025-06-26 11:10:00,2025-07-01 23:10:00,V2065,RoadReady Repairs,WO-2024-000555,10096,V2065,2037.08,2048.08,0.00,4085.16,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-000555,10096,VH-10096,VH-10096,V2065
WO-2025-002131,2024-05-09 09:30:00,10096,2024-05-10 11:30:00,2024-05-15 02:30:00,V2002,Quick Fuel Partners,WO-2025-002131,10096,V2002,1264.13,816.71,823.90,2904.74,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-002131,10096,VH-10096,VH-10096,V2002
WO-2024-000618,2024-09-07 17:30:00,10096,2024-09-09 08:30:00,2024-09-15 06:30:00,V2044,Green Charge,WO-2024-000618,10096,V2044,1694.89,1700.37,0.00,3395.26,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-000618,10096,VH-10096,VH-10096,V2044
WO-2025-000196,2025-11-08 00:00:00,10096,2025-11-10 00:00:00,2025-11-16 19:00:00,V2010,Quick Fuel Partners,WO-2025-000196,10096,V2010,2795.54,2474.62,0.00,5270.16,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-000196,10096,VH-10096,VH-10096,V2010
WO-2024-000594,2024-03-07 16:30:00,10208,2024-03-09 11:30:00,2024-03-14 14:30:00,V2048,Northside Fleet Repair,WO-2024-000594,10208,V2048,655.38,1193.07,0.00,1848.45,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-000594,10208,VH-10208,VH-10208,V2048
WO-2026-002348,2025-04-27 23:15:00,10208,2025-04-28 17:15:00,2025-05-03 11:15:00,V2026,Reliable Truck Service,WO-2026-002348,10208,V2026,1143.43,820.15,0.00,1963.58,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-002348,10208,VH-10208,VH-10208,V2026
WO-2024-000204,08/27/2024 02:15,10208,2024-08-27 08:15:00,2024-09-04 11:15:00,V2024,Green Charge,WO-2024-000204,10208,V2024,2244.28,1877.86,0.00,4122.14,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-000204,10208,VH-10208,VH-10208,V2024
WO-2025-003007,2025-09-28 08:30:00,10208,2025-09-28 18:30:00,2025-09-30 23:30:00,V2037,Central Parts Warehouse,WO-2025-003007,10208,V2037,103.45,1058.29,1114.73,2276.47,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-003007,10208,VH-10208,VH-10208,V2037
WO-2026-003440,2024-12-05 07:05:00,10208,2024-12-05 22:05:00,2024-12-11 16:05:00,V2008,Reliable Truck Service,WO-2026-003440,10208,V2008,1357.09,2055.00,819.99,4232.08,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-003440,10208,VH-10208,VH-10208,V2008
WO-2025-003223,2025-05-07 13:45:00,10208,2025-05-07 21:45:00,2025-05-15 03:45:00,V2007,Apex Maintenance Group,WO-2025-003223,10208,V2007,1685.31,2447.76,1131.18,5264.25,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-003223,10208,VH-10208,VH-10208,V2007
WO-2024-003969,2024-08-07 18:45:00,10208,08/08/2024 08:45,2024-08-12 03:45:00,V9990,Apex Maintenance Group,WO-2024-003969,10208,V9990,2333.09,1046.08,1189.52,4568.69,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-003969,10208,VH-10208,VH-10208,V9990
WO-2026-002531,2024-09-14 14:05:00,10208,2024-09-16 03:05:00,2024-09-24 23:05:00,V2029,Interstate Repair Depot,WO-2026-002531,10208,V2029,2848.94,1227.79,1002.34,5079.07,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-002531,10208,VH-10208,VH-10208,V2029
WO-2025-000049,2024-10-04 08:15:00,10208,2024-10-05 19:15:00,2024-10-08 22:15:00,V2063,GreenCharge EV Supply,WO-2025-000049,10208,V2063,381.14,0.00,1121.84,2453.22,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-000049,10208,VH-10208,VH-10208,V2063
WO-2026-003944,2024-02-15 18:00:00,10017,2024-02-17 13:00:00,2024-02-21 14:00:00,V2038,Urban Fleet Maintenance,WO-2026-003944,10017,V2038,2536.59,190.49,931.96,3659.04,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-003944,10017,VH-10017,VH-10017,V2038
WO-2026-001748,2025-04-16 17:20:00,10017,2025-04-17 23:20:00,2025-04-23 15:20:00,V2052,FastLane PM Services,WO-2026-001748,10017,V2052,3555.55,27.19,0.00,3582.74,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-001748,10017,VH-10017,VH-10017,V2052
WO-2025-002377,2024-07-23 11:05:00,10017,07/24/2024 18:05,2024-07-29 21:05:00,V2009,"Joe's Automotive LLC",WO-2025-002377,10017,V2009,379.86,590.60,412.91,1383.37,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-002377,10017,VH-10017,VH-10017,V2009
WO-2024-003585,2025-07-18 14:30:00,10017,2025-07-20 03:30:00,2025-07-25 22:30:00,V2046,Atlas Heavy Truck,WO-2024-003585,10017,V2046,2970.71,0.00,0.00,4374.04,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-003585,10017,VH-10017,VH-10017,V2046
WO-2024-000297,2026-03-14 17:45:00,10017,2026-03-15 18:45:00,2026-03-21 09:45:00,V2035,Premier Collision Center,WO-2024-000297,10017,V2035,3197.06,59.20,945.73,4201.99,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-000297,10017,VH-10017,VH-10017,V2035
WO-2026-001421,2024-01-30 00:00:00,10017,2024-01-31 11:00:00,2024-02-02 14:00:00,V2001,Precision Hydraulics,WO-2026-001421,10017,V2001,600.93,392.48,24.22,1017.63,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-001421,10017,VH-10017,VH-10017,V2001
WO-2026-000191,2024-04-22 08:20:00,10017,2024-04-22 11:20:00,2024-05-01 17:20:00,V2026,Reliable Truck Service,WO-2026-000191,10017,V2026,1123.72,1159.40,290.25,2573.37,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-000191,10017,VH-10017,VH-10017,V2026
WO-2024-001188,08/29/2024 07:20,10017,2024-08-30 19:20:00,2024-09-06 08:20:00,V2014,Precision Hydraulics,WO-2024-001188,10017,V2014,2051.10,1838.54,0.00,3889.64,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-001188,10017,VH-10017,VH-10017,V2014
WO-2024-002166,2025-06-18 19:05:00,10017,2025-06-20 07:05:00,2025-06-25 13:05:00,V2035,Premier Collision Center,WO-2024-002166,10017,V2035,2857.59,2349.55,558.32,5765.46,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-002166,10017,VH-10017,VH-10017,V2035
WO-2024-001983,2024-08-25 10:20:00,10017,2024-08-26 08:20:00,2024-08-29 06:20:00,V2019,Central Parts Warehouse,WO-2024-001983,10017,V2019,1469.59,1584.63,1032.63,4086.85,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-001983,10017,VH-10017,VH-10017,V2019
WO-2025-001585,2024-02-20 19:15:00,10017,2024-02-22 16:15:00,2024-02-27 05:15:00,V2029,Interstate Repair Depot,WO-2025-001585,10017,V2029,474.28,1186.67,617.98,2278.93,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-001585,10017,VH-10017,VH-10017,V2029
WO-2025-000061,03/08/2026 00:45,10017,2026-03-08 16:45:00,2026-03-10 12:45:00,V2052,FastLane PM Services,WO-2025-000061,10017,V2052,1484.63,2321.06,532.73,4338.42,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-000061,10017,VH-10017,VH-10017,V2052
WO-2025-002485,2025-05-27 14:45:00,10017,2025-05-29 04:45:00,2025-06-02 08:45:00,V2006,"",WO-2025-002485,10017,V2006,508.11,792.01,760.96,2061.08,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-002485,10017,VH-10017,VH-10017,V2006
WO-2026-002465,2024-08-22 23:30:00,10017,2024-08-24 13:30:00,2024-08-27 03:30:00,V2006,Superior Body Shop,WO-2026-002465,10017,V2006,2849.60,1192.07,0.00,4041.67,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-002465,10017,VH-10017,VH-10017,V2006
WO-2025-000121,08/08/2025 04:00,10248,2025-08-10 01:00:00,2025-08-14 18:00:00,V2061,Apex Maintenance Group,WO-2025-000121,10248,V2061,3334.32,2073.82,666.80,6074.94,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-000121,10248,VH-10248,VH-10248,V2061
WO-2024-000081,2025-03-23 22:00:00,10248,2025-03-24 20:00:00,03/30/2025 13:00,V2056,Precision Hydraulics,WO-2024-000081,10248,V2056,1246.29,1596.51,0.00,2842.80,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-000081,10248,VH-10248,VH-10248,V2056
WO-2024-003774,2024-04-10 21:45:00,10248,04/11/2024 06:45,2024-04-15 17:45:00,V2010,Quick Fuel Partners,WO-2024-003774,10248,V2010,2219.82,2217.37,0.00,4437.19,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-003774,10248,VH-10248,VH-10248,V2010
WO-2025-003040,2026-04-30 23:05:00,10248,2026-05-02 18:05:00,2026-05-07 15:05:00,"",Industrial Equipment Repair,WO-2025-003040,10248,"",363.94,1750.24,1105.97,3220.15,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-003040,10248,VH-10248,VH-10248,INDUSTRIAL EQUIPMENT REPAIR
WO-2025-001609,2024-04-01 21:15:00,10248,2024-04-02 21:15:00,2024-04-08 21:15:00,V2008,Reliable Truck Service,WO-2025-001609,10248,V2008,2276.59,1345.60,0.00,3622.19,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-001609,10248,VH-10248,VH-10248,V2008
WO-2025-003910,2024-07-15 06:45:00,10248,2024-07-15 18:45:00,2024-07-23 22:45:00,V2047,Precision Hydraulics,WO-2025-003910,10248,V2047,625.25,191.61,0.00,816.86,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-003910,10248,VH-10248,VH-10248,V2047
WO-2026-001688,2025-03-13 06:20:00,10248,2025-03-14 01:20:00,2025-03-20 06:20:00,V2006,City Wide Tire and Brake,WO-2026-001688,10248,V2006,765.97,1659.07,0.00,3241.18,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-001688,10248,VH-10248,VH-10248,V2006
WO-2025-003307,2025-09-10 12:05:00,10248,2025-09-12 09:05:00,2025-09-16 00:05:00,V2049,Precision Hydraulics,WO-2025-003307,10248,V2049,941.27,605.91,1168.89,2716.07,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-003307,10248,VH-10248,VH-10248,V2049
WO-2024-001950,2024-09-17 19:15:00,10248,2024-09-18 00:15:00,2024-09-19 21:15:00,V2034,Premier Collision Center,WO-2024-001950,10248,V2034,2394.16,884.88,446.77,3725.81,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-001950,10248,VH-10248,VH-10248,V2034
WO-2025-002647,2025-10-14 21:05:00,10287,2025-10-16 21:05:00,2025-10-21 13:05:00,"",Interstate Repair Depot,WO-2025-002647,10287,"",2279.93,1469.03,0.00,3748.96,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-002647,10287,VH-10287,VH-10287,INTERSTATE REPAIR DEPOT
WO-2026-002990,2024-02-18 21:00:00,10287,02/20/2024 16:00,2024-03-01 11:00:00,V2059,Unknown Vendor,WO-2026-002990,10287,V2059,1694.67,749.29,0.00,2443.96,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-002990,10287,VH-10287,VH-10287,V2059
WO-2025-001894,2024-07-20 05:15:00,10287,2024-07-20 23:15:00,2024-07-24 20:15:00,V2013,Industrial Equipment Repair,WO-2025-001894,10287,V2013,261.70,605.99,0.00,867.69,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-001894,10287,VH-10287,VH-10287,V2013
WO-2026-001586,2025-03-26 12:30:00,10287,2025-03-27 13:30:00,2025-04-05 19:30:00,V2008,Reliable Truck Service,WO-2026-001586,10287,V2008,3001.03,1568.78,0.00,4569.81,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-001586,10287,VH-10287,VH-10287,V2008
WO-2025-000280,2024-03-28 14:15:00,10287,2024-03-29 11:15:00,04/05/2024 07:15,V2020,Metro Fuel Svc,WO-2025-000280,10287,V2020,445.34,2056.21,324.70,2826.25,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-000280,10287,VH-10287,VH-10287,V2020
WO-2026-000959,2024-09-18 11:05:00,10287,2024-09-20 08:05:00,09/27/2024 06:05,V2007,Midwest Diesel Service,WO-2026-000959,10287,V2007,1382.96,1639.60,0.00,3022.56,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-000959,10287,VH-10287,VH-10287,V2007
WO-2024-002703,2024-05-17 20:00:00,10287,2024-05-17 20:00:00,2024-05-21 21:00:00,V2042,Urban Fleet Maintenance,WO-2024-002703,10287,V2042,3517.77,1188.07,0.00,4705.84,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-002703,10287,VH-10287,VH-10287,V2042
WO-2024-002583,2025-12-09 14:05:00,10281,2025-12-11 12:05:00,2025-12-19 11:05:00,V2030,Industrial Equipment Repair,WO-2024-002583,10281,V2030,1877.92,128.96,0.00,2006.88,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-002583,10281,VH-10281,VH-10281,V2030
WO-2026-001394,2024-05-28 17:10:00,10281,2024-05-29 18:10:00,2024-06-01 17:10:00,V2066,Reliable Truck Service,WO-2026-001394,10281,V2066,1287.22,153.31,561.46,2001.99,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-001394,10281,VH-10281,VH-10281,V2066
WO-2026-003188,2025-09-03 02:05:00,10281,09/05/2025 02:05,2025-09-11 12:05:00,V2006,City Wide Tire and Brake,WO-2026-003188,10281,V2006,1235.41,1145.43,0.00,2380.84,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-003188,10281,VH-10281,VH-10281,V2006
WO-2026-000278,2024-06-29 08:00:00,10281,2024-06-29 18:00:00,2024-07-05 08:00:00,V2068,Premier Collision Center,WO-2026-000278,10281,V2068,866.12,751.41,0.00,1617.53,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-000278,10281,VH-10281,VH-10281,V2068
WO-2026-001337,2024-06-08 15:30:00,10281,2024-06-10 08:30:00,2024-06-16 13:30:00,V2001,Precision Hydraulics,WO-2026-001337,10281,V2001,1655.90,793.83,0.00,2449.73,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-001337,10281,VH-10281,VH-10281,V2001
WO-2025-000904,2025-02-06 12:15:00,10281,02/08/2025 09:15,2025-02-12 11:15:00,V2015,GreenCharge,WO-2025-000904,10281,V2015,549.06,363.98,0.00,913.04,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-000904,10281,VH-10281,VH-10281,V2015
WO-2025-001408,2024-07-27 00:15:00,10281,2024-07-28 22:15:00,2024-07-30 16:15:00,V2061,Apex Maintenance Group,WO-2025-001408,10281,V2061,2196.58,554.56,1050.50,3801.64,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-001408,10281,VH-10281,VH-10281,V2061
WO-2026-002228,2024-05-08 04:20:00,10281,2024-05-09 01:20:00,2024-05-22 00:20:00,V2025,CITYWIDE TIRE,WO-2026-002228,10281,V2025,746.51,896.23,0.00,1642.74,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-002228,10281,VH-10281,VH-10281,V2025
WO-2024-000372,2026-02-12 01:45:00,10281,2026-02-13 01:45:00,2026-02-17 18:45:00,V2025,CITYWIDE TIRE,WO-2024-000372,10281,V2025,1588.73,1522.61,964.78,4076.12,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-000372,10281,VH-10281,VH-10281,V2025
WO-2026-000557,2024-12-15 13:00:00,10281,2024-12-16 06:00:00,2024-12-27 08:00:00,V2029,Interstate Repair Depot,WO-2026-000557,10281,V2029,225.07,972.41,1110.92,2508.93,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-000557,10281,VH-10281,VH-10281,V2029
WO-2024-002829,2025-11-11 20:30:00,10281,2025-11-13 06:30:00,2025-11-17 00:30:00,V2022,Precision Hydraulics,WO-2024-002829,10281,V2022,2277.07,1588.34,0.00,3865.41,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-002829,10281,VH-10281,VH-10281,V2022
WO-2024-000552,2026-01-19 06:00:00,10281,2026-01-19 17:00:00,2026-01-25 04:00:00,V2015,GreenCharge,WO-2024-000552,10281,V2015,1060.37,2421.43,0.00,3481.80,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-000552,10281,VH-10281,VH-10281,V2015
WO-2025-003235,2024-06-03 23:15:00,10281,2024-06-05 03:15:00,2024-06-11 00:15:00,V2034,Premier Collision Center,WO-2025-003235,10281,V2034,2827.62,1248.27,844.11,4920.00,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-003235,10281,VH-10281,VH-10281,V2034
WO-2026-000479,2025-04-25 02:05:00,10281,2025-04-25 07:05:00,2025-05-02 00:05:00,V2044,Green Charge,WO-2026-000479,10281,V2044,766.12,2146.39,86.79,2999.30,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-000479,10281,VH-10281,VH-10281,V2044
WO-2024-003273,2026-03-06 09:15:00,10279,2026-03-08 07:15:00,2026-03-11 01:15:00,V2069,FleetPro Service Center,WO-2024-003273,10279,V2069,1839.43,2439.06,0.00,4278.49,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-003273,10279,VH-10279,VH-10279,V2069
WO-2024-003930,2024-02-25 06:20:00,10279,2024-02-26 21:20:00,2024-03-01 02:20:00,V2047,Precision Hydraulics,WO-2024-003930,10279,V2047,1375.16,1368.58,241.19,2984.93,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-003930,10279,VH-10279,VH-10279,V2047
WO-2024-002340,2026-04-26 11:30:00,10279,2026-04-27 18:30:00,2026-05-04 16:30:00,V2066,Reliable Truck Service,WO-2024-002340,10279,V2066,947.50,1782.94,371.91,3102.35,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-002340,10279,VH-10279,VH-10279,V2066
WO-2024-000738,2026-01-16 21:00:00,10279,2026-01-18 01:00:00,2026-01-23 01:00:00,V2020,Universal Fleet Solutions,WO-2024-000738,10279,V2020,2879.43,1590.24,772.03,5241.70,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-000738,10279,VH-10279,VH-10279,V2020
WO-2025-003457,2025-11-25 13:45:00,10279,2025-11-25 19:45:00,2025-11-30 20:45:00,V2020,Metro Fuel Svc,WO-2025-003457,10279,V2020,2060.75,2031.89,648.24,4740.88,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-003457,10279,VH-10279,VH-10279,V2020
WO-2026-002375,2026-03-25 13:30:00,10279,03/26/2026 23:30,2026-03-29 17:30:00,V2057,City Wide Tire and Brake,WO-2026-002375,10279,V2057,2267.07,614.18,0.00,2881.25,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-002375,10279,VH-10279,VH-10279,V2057
WO-2026-002186,2024-12-01 06:10:00,10279,2024-12-02 15:10:00,2024-12-09 17:10:00,V2068,Premier Collision Center,WO-2026-002186,10279,V2068,2424.96,1263.60,266.16,3954.72,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-002186,10279,VH-10279,VH-10279,V2068
WO-2024-000786,2026-03-05 12:30:00,10279,2026-03-06 22:30:00,2026-03-09 05:30:00,V2006,FleetPro Service Center,WO-2024-000786,10279,V2006,56.84,1625.56,1028.53,2710.93,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-000786,10279,VH-10279,VH-10279,V2006
WO-2024-000546,2025-11-21 19:00:00,10388,2025-11-22 14:00:00,2025-11-27 09:00:00,V2058,North Star Garage,WO-2024-000546,10388,V2058,1143.19,1776.39,0.00,2919.58,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-000546,10388,VH-10388,VH-10388,V2058
WO-2024-000279,2024-02-26 08:05:00,10388,02/27/2024 03:05,2024-02-29 19:05:00,V2044,"",WO-2024-000279,10388,V2044,1536.96,2019.63,90.58,3647.17,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-000279,10388,VH-10388,VH-10388,V2044
WO-2024-002847,2024-01-02 10:45:00,10388,2024-01-03 12:45:00,2024-01-06 11:45:00,V2046,Atlas Heavy Truck,WO-2024-002847,10388,V2046,1450.76,272.87,474.51,2198.14,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-002847,10388,VH-10388,VH-10388,V2046
WO-2025-000499,07/31/2025 16:10,10388,2025-08-01 10:10:00,08/07/2025 03:10,"",Unknown Vendor,WO-2025-000499,10388,"",2725.81,2355.10,632.36,5713.27,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-000499,10388,VH-10388,VH-10388,UNKNOWN VENDOR
WO-2024-003711,2025-11-18 18:05:00,10388,2025-11-20 10:05:00,2025-11-23 23:05:00,V2039,Premier Collision Center,WO-2024-003711,10388,V2039,675.60,2270.73,179.08,3125.41,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-003711,10388,VH-10388,VH-10388,V2039
WO-2025-002491,2024-10-27 04:00:00,10388,2024-10-27 23:00:00,2024-11-01 21:00:00,V2055,Allied Mechanics,WO-2025-002491,10388,V2055,843.63,79.49,0.00,923.12,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-002491,10388,VH-10388,VH-10388,V2055
WO-2026-000398,2026-04-23 18:45:00,10388,2026-04-24 12:45:00,2026-04-30 05:45:00,V2027,QuickFuel,WO-2026-000398,10388,V2027,1495.48,1894.08,0.00,3389.56,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-000398,10388,VH-10388,VH-10388,V2027
WO-2026-002999,2026-03-06 11:30:00,10204,2026-03-07 21:30:00,2026-03-10 23:30:00,V2003,Lakeshore Automotive,WO-2026-002999,10204,V2003,1096.60,908.16,908.71,2913.47,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-002999,10204,VH-10204,VH-10204,V2003
WO-2024-001272,01/23/2026 08:20,10204,01/25/2026 08:20,2026-01-29 15:20:00,V2069,FleetPro Service Center,WO-2024-001272,10204,V2069,488.32,2303.57,1008.67,3800.56,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-001272,10204,VH-10204,VH-10204,V2069
WO-2024-000912,2024-07-04 07:45:00,10204,2024-07-05 20:45:00,2024-07-11 00:45:00,V2037,Central Parts Warehouse,WO-2024-000912,10204,V2037,1026.82,1098.02,797.38,2922.22,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-000912,10204,VH-10204,VH-10204,V2037
WO-2026-001364,2024-05-15 17:30:00,10204,2024-05-17 11:30:00,05/20/2024 00:30,V2061,Apex Maintenance Group,WO-2026-001364,10204,V2061,2398.14,2028.73,0.00,4426.87,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-001364,10204,VH-10204,VH-10204,V2061
WO-2026-002123,2026-04-24 02:30:00,10145,2026-04-25 04:30:00,2026-04-28 13:30:00,V2030,Industrial Equipment Repair,WO-2026-002123,10145,V2030,2247.84,1928.28,0.00,4176.12,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-002123,10145,VH-10145,VH-10145,V2030
WO-2024-003900,2025-04-25 12:20:00,10145,04/26/2025 03:20,2025-05-03 00:20:00,V2007,Midwest Diesel Service,WO-2024-003900,10145,V2007,2360.38,137.09,0.00,2497.47,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-003900,10145,VH-10145,VH-10145,V2007
WO-2026-003395,2026-01-21 00:30:00,10145,2026-01-22 06:30:00,2026-01-30 08:30:00,"",Universal Fleet Solutions,WO-2026-003395,10145,"",2242.69,1588.93,140.12,3971.74,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-003395,10145,VH-10145,VH-10145,UNIVERSAL FLEET SOLUTIONS
WO-2025-000055,2024-01-13 09:20:00,10145,2024-01-14 03:20:00,2024-01-16 09:20:00,V2026,Reliable Truck Service,WO-2025-000055,10145,V2026,2431.84,173.23,1172.79,3777.86,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-000055,10145,VH-10145,VH-10145,V2026
