assessment_id,assessment_date,vehicle_id,registration_no,Vehicle_Model,Mileage,Maintenance_History,Reported_Issues,Vehicle_Age,Fuel_Type,Transmission_Type,Engine_Size,Odometer_Reading,Last_Service_Date,Warranty_Expiry_Date,Owner_Type,Insurance_Premium,Service_History,Accident_History,Fuel_Efficiency,Tire_Condition,Brake_Condition,Battery_Status,Need_Maintenance,source_system
CA-000372,2024-09-16,VH-10140,RPT7293,Van,7453,GOOD,0,1,Hybrid,Manual,2000,14968,2024-03-31,2028-01-24,,2240,8,2,37.9,GOOD,Needs Service,Replace,0,ConditionPortal
CA-000373,2026-01-31,VH-10366,EFI6964,Ford Explorer,17774,Unknown,3,1,DIESEL,Manual,3.5L,38069,2025-04-25,2031-06-05,Company,2141,19,1,23.79,GOOD,GOOD,WEAK,0,ConditionPortal
CA-000374,2025-11-20,VH-10039,BGD6874,Tacoma,202608,Average,3,10,DIESEL,AUTO,Electric,218109,2025-01-24,2020-08-07,Company,1181,18,0,39.04,Worn Out,Worn,New,1,InspectionApp
CA-000375,2026-01-02,VH-10032,VQY6548,Van,6338,Good,0,1,DIESEL,,3.5L,6612,2025-11-17,2030-03-05,Second,2146,14,0,22.59,GOOD,Needs Service,Replace,0,ConditionPortal
CA-000376,2024-09-15,VH-10270,MBR9431,Express,181679,GOOD,0,9,EV,Manual,2000,181880,2024-06-29,07/14/2025,Second,1777,11,1,24.02,New,Worn,Unknown,0,InspectionApp
CA-000377,2026-02-02,VH-10406,QCU7481,Van,154585,Good,0,12,Hybrid,AUTO,3.5L,154311,2025-12-14,2026-04-29,,950,8,0,32.86,GOOD,Worn,New,1,ConditionPortal
CA-000378,2025-06-10,VH-10331,BPG0055,Ford F-150,156362,Unknown,3,13,Gas,,,177338,2024-11-28,2018-10-05,Company,1921,7,1,13.69,Worn Out,Poor,WEAK,1,ConditionPortal
CA-000379,2026-03-25,VH-10058,NTW1008,Chevrolet Express,141125,GOOD,,8,Hybrid,Automatic,2500,154708,2026-01-14,2023-09-29,,1113,8,0,34.22,Poor,Good,Replace,0,MaintenanceRiskModel
CA-000380,2026-01-26,,WYW7755,M2,8683,Unknown,2,1,Gas,,2500,25893,2025-02-16,2027-06-04,Pool,2005,8,0,13.48,New,Needs Service,Replace,1,InspectionApp
CA-000381,2024-06-03,VH-10380,ZIK8530,Toyota Tacoma,194137,Average,0,13,Electric,Automatic,3.5L,194341,2024-04-23,2017-10-25,Company,3517,11,0,50.12,Worn Out,New,WEAK,0,InspectionApp
CA-000382,2025-12-31,VH-10096,STH0365,International MV607,105408,Unknown,2,5,Electric,,,105425,2025-07-22,2027-02-03,Leased,3221,3,3,20.82,GOOD,New,Good,1,MaintenanceRiskModel
CA-000383,02/02/2026,VH-10235,WYW7755,M2,8933,Poor,2,1,Gas,Automatic,Electric,16740,2024-12-12,09/13/2027,Pool,3843,4,0,26.21,Poor,Good,WEAK,0,ConditionPortal
CA-000384,2024-06-14,VH-10062,CTU8794,Heavy Truck,138946,Poor,1,9,EV,AUTO,3.5L,138846,2024-04-26,2019-11-18,Pool,1209,18,0,10.67,Worn Out,Needs Service,Good,0,InspectionApp
CA-000385,2026-04-24,VH-10359,QRK4441,Ford Explorer,92104,GOOD,1,7,Gas,Automatic,2500,100762,2025-07-26,12/08/2022,Second,4136,5,2,35.72,Worn Out,New,Good,0,ConditionPortal
CA-000386,2024-10-26,VH-10226,ERL5070,Explorer,98829,Good,2,6,DIESEL,,2000,98562,2024-10-08,2023-09-25,Second,3363,18,0,45.66,Worn,Worn,Good,0,ConditionPortal
CA-000387,2025-12-21,VH-10249,WDG2114,Chevrolet Express,13626,Unknown,3,1,DIESEL,Automatic,3.5L,13438,2024-11-19,2029-04-23,Company,2288,7,0,31.01,Worn,New,WEAK,1,InspectionApp
CA-000388,2024-02-09,VH-10417,LHN8465,Heavy Truck,159549,Unknown,2,10,Gas,Manual,2500,167583,2024-01-10,2019-05-23,Pool,3873,13,1,20.49,Worn Out,Poor,New,0,ConditionPortal
CA-000389,2024-06-16,VH-10250,TVI7781,Toyota Tacoma,77269,Good,2,4,DIESEL,Automatic,2500,77475,2023-09-03,2028-08-17,Leased,2244,9,0,8.27,New,New,Good,0,ConditionPortal
CA-000390,05/20/2025,VH-10091,GSR3898,Chevrolet Express,160933,Good,1,10,DIESEL,AUTO,2000,160773,2024-11-27,2018-10-16,Leased,1633,6,2,10.6,Poor,New,Unknown,0,InspectionApp
CA-000391,2024-11-23,VH-10165,TLJ3701,Chevrolet Silverado,166437,Average,0,10,Gas,Manual,2500,185701,2024-03-31,2021-12-01,Pool,3659,16,2,49.46,New,Needs Service,WEAK,0,InspectionApp
CA-000392,2024-01-25,VH-10067,MME1126,Toyota Camry,73769,Average,,4,Diesel,Automatic,,73473,2024-01-14,2026-09-07,Second,3147,4,3,34.21,New,New,Weak,0,ConditionPortal
CA-000393,2025-12-30,VH-10165,TLJ3701,Silverado,164022,GOOD,,10,GAS,Manual,3.5L,164080,2025-12-28,2021-12-01,Second,1251,2,0,25.53,New,Poor,Good,0,MaintenanceRiskModel
CA-000394,2025-01-17,VH-10379,OOI3784,Sierra,56854,Poor,0,3,DIESEL,AUTO,3.5L,56754,2024-02-05,2028-08-16,Company,1312,9,3,36.17,Poor,Worn,Weak,1,ConditionPortal
CA-000395,2025-05-08,VH-10099,UNF9112,Sedan,268819,Good,1,13,Gas,Automatic,2000,268688,2025-04-24,2016-09-13,Pool,1314,14,0,46.1,Worn,GOOD,New,0,ConditionPortal
CA-000396,2025-01-05,VH-10288,UDW1838,Dodge Ram 1500,187537,Good,,10,Gas,Manual,Electric,202987,2025-01-12,2021-06-23,Pool,2819,19,0,15.29,Poor,GOOD,Weak,1,InspectionApp
CA-000397,2025-04-15,VH-10178,ZGW3455,M2,194294,Good,3,12,Electric,AUTO,3.5L,194456,06/06/2024,06/07/2017,Leased,4050,10,0,14.94,New,GOOD,Replace,1,MaintenanceRiskModel
CA-000398,2024-09-20,VH-10346,YZD2824,NV200,77178,Good,0,4,HYBRID,Manual,3.5L,86460,10/08/2023,2027-06-24,,3716,4,3,23.38,Worn,Worn,Weak,0,InspectionApp
CA-000399,2026-03-29,VH-10166,GBU2244,Toyota Tacoma,118514,Poor,1,12,EV,Automatic,2000,126177,2025-07-27,2018-10-15,Pool,4318,17,0,46.96,Worn,Needs Service,New,0,InspectionApp
CA-000400,2024-06-14,VH-10140,RPT7293,Van,11485,GOOD,0,1,Electric,Manual,,11233,2023-10-05,2028-01-24,Pool,2337,8,0,46.67,New,Needs Service,Unknown,1,ConditionPortal
CA-000401,2025-01-29,VH-10191,IZP6171,Transit,128302,GOOD,0,14,Hybrid,Manual,2500,128595,2024-01-23,2015-12-02,,1207,0,1,26.19,Poor,Worn,Replace,0,MaintenanceRiskModel
CA-000402,2024-12-27,VH-10293,UDN0019,Silverado,35326,Poor,0,2,Gas Hybrid,AUTO,Electric,35260,2024-01-23,2028-07-27,Pool,2440,2,1,25.25,New,Poor,New,0,MaintenanceRiskModel
CA-000403,2024-07-29,VH-10208,TES6102,Toyota Camry,107493,Unknown,0,9,Hybrid,Manual,3.5L,107306,2023-12-18,2022-09-17,Second,4465,19,0,30.17,GOOD,Needs Service,Good,0,MaintenanceRiskModel
CA-000404,2025-02-04,VH-10401,WLP4309,Express,288700,Poor,3,13,Hybrid,Automatic,2500,288643,2024-11-16,2017-04-16,Company,1460,7,0,49.83,GOOD,GOOD,Good,0,InspectionApp
CA-000405,2024-11-27,VH-10034,QTW3719,Ram 1500,87670,Good,2,10,Electric,Automatic,3.5L,87703,2023-10-13,07/27/2020,Second,1080,9,0,35.7,Good,New,New,0,InspectionApp
CA-000406,2025-07-03,VH-10350,BNP9893,Chevrolet Silverado,98108,Average,3,7,Gas,Manual,1.8L,98180,2025-03-24,2023-06-03,Leased,1516,15,2,44.78,Poor,Needs Service,New,1,ConditionPortal
CA-000407,2024-11-19,VH-10161,DQI5787,Freightliner M2,82117,Average,0,8,Hybrid,Automatic,2.0L,81854,2024-05-02,2021-04-05,,2672,0,1,12.47,Good,New,WEAK,1,InspectionApp
CA-000408,2024-12-22,VH-10027,MYZ1532,Toyota Prius,285662,Average,0,13,Diesel,Automatic,Electric,300296,2024-10-17,2016-09-30,Company,1338,0,0,49.64,New,Needs Service,New,0,MaintenanceRiskModel
CA-000409,2024-03-25,VH-10256,AZP6990,NV200,3465,Good,1,12,Diesel,AUTO,,12661,01/30/2023,2017-12-09,Second,1602,17,0,31.24,Worn Out,Good,Replace,0,ConditionPortal
CA-000410,03/22/2024,,CUE3923,SUV,109817,Average,0,13,petrol,,Electric,118101,2023-12-02,2017-10-15,Leased,1715,5,0,10.88,GOOD,GOOD,Good,1,MaintenanceRiskModel
CA-000411,2025-01-05,VH-10304,ESG0015,Freightliner M2,173086,Average,1,9,Hybrid,,2.5L,189428,2024-03-30,2020-01-19,Leased,2823,3,2,9.61,Poor,New,Unknown,0,ConditionPortal
CA-000412,2024-02-26,VH-10372,FEE6429,Sedan,143208,GOOD,0,12,Electric,CVT,Electric,151673,2023-11-14,2018-10-17,Company,1706,12,0,33.84,GOOD,Worn,Unknown,0,MaintenanceRiskModel
CA-000413,2025-10-20,VH-10224,AVX9507,Chevrolet Express,83558,Average,3,6,DIESEL,AUTO,6.7L,101917,2025-06-13,2024-07-16,,2564,16,2,22.64,Good,GOOD,Replace,1,MaintenanceRiskModel
CA-000414,2024-07-19,,TMC0788,Heavy Truck,51163,GOOD,2,4,Electric,Manual,,73172,2024-01-14,2025-06-28,Pool,1987,19,2,35.37,GOOD,Needs Service,WEAK,0,MaintenanceRiskModel
CA-000415,2025-05-12,VH-10344,ALH6985,Dodge Ram 1500,224445,Average,0,12,Diesel,Automatic,2500,248564,2024-05-28,12/06/2019,Leased,1743,15,2,45.0,Good,Poor,Unknown,1,MaintenanceRiskModel
CA-000416,2026-02-04,VH-10215,IBH7512,Transit,42163,GOOD,1,2,EV,AUTO,Electric,64230,2025-03-03,2027-02-28,,4312,18,3,37.27,New,GOOD,New,0,ConditionPortal
CA-000417,09/25/2025,VH-10377,JIX1955,Sedan,235845,GOOD,0,11,ELECTRIC,,2000,235549,05/10/2025,2019-07-06,Leased,3926,3,0,16.26,Poor,Needs Service,New,0,InspectionApp
CA-000418,2024-08-17,VH-10329,TKM7973,Tacoma,61987,Good,0,3,petrol,Manual,2500,62254,2023-10-07,2027-07-16,,1832,5,3,34.5,GOOD,Poor,New,0,MaintenanceRiskModel
CA-000419,2026-03-28,VH-10236,FSR3291,Sedan,119101,GOOD,,9,Diesel,AUTO,2.0L,119056,2025-03-26,10/19/2020,Company,3650,19,0,22.91,Worn Out,Worn,WEAK,1,MaintenanceRiskModel
CA-000420,2024-05-21,VH-10056,VZK4595,Truck,128579,GOOD,2,11,Gas,,Electric,128767,2024-04-27,2020-08-28,Pool,4076,11,3,32.27,Poor,GOOD,Replace,1,ConditionPortal
CA-000421,2024-01-05,VH-10146,XVD6509,GMC Sierra,42083,GOOD,0,2,Hybrid,Automatic,2500,63192,2023-05-05,2029-05-15,Second,2666,14,1,54.21,Good,GOOD,Unknown,0,MaintenanceRiskModel
CA-000422,2024-11-29,VH-10186,BBZ6495,MV607,11438,Unknown,,1,Gas,Automatic,2500,11153,2024-05-02,2030-05-28,,2980,9,0,22.0,Worn Out,Poor,New,1,MaintenanceRiskModel
CA-000423,03/28/2024,VH-10054,JVC2190,Sedan,82484,Good,0,5,HYBRID,AUTO,3.5L,89897,2023-11-11,2026-10-12,Second,4138,10,1,49.92,Worn Out,Poor,Replace,1,ConditionPortal
CA-000424,2024-08-02,VH-10120,VFZ1606,Van,93643,Poor,3,5,EV,AUTO,3.5L,93481,2023-11-19,2024-12-30,Company,1367,12,0,8.75,Worn,Worn,Weak,0,InspectionApp
CA-000425,2026-02-11,VH-10401,WLP4309,Van,282763,Poor,3,13,Hybrid,AUTO,,289262,2025-10-17,2017-04-16,Company,2464,0,1,46.32,Worn Out,Poor,New,0,ConditionPortal
CA-000426,06/18/2024,VH-10004,KRZ0273,Toyota Tacoma,123591,Unknown,2,9,EV,AUTO,6.7L,138563,2023-08-09,2020-07-23,Pool,1736,8,3,43.94,Good,Poor,Good,1,MaintenanceRiskModel
CA-000427,2025-07-29,VH-10246,VMB5490,Heavy Truck,21442,Good,0,1,EV,Manual,,21360,2025-03-17,2029-10-01,Second,2167,4,1,43.76,Worn,Poor,WEAK,0,ConditionPortal
CA-000428,2024-08-30,VH-10304,NJT5668,Freightliner M2,172223,Average,1,9,Electric,Automatic,2500,172021,2024-08-02,2020-01-19,Second,4428,18,3,10.24,Worn,GOOD,Unknown,1,InspectionApp
CA-000429,2024-01-06,VH-10088,HOV5056,Heavy Truck,129436,Poor,0,14,DIESEL,AUTO,2500,129512,2023-08-20,2015-08-17,Pool,2494,0,0,24.96,Poor,GOOD,WEAK,1,MaintenanceRiskModel
CA-000430,2024-11-02,VH-X2247,MQX3601,Truck,98095,Poor,0,5,Electric,AUTO,5.3L,97930,2024-10-07,2023-09-30,Leased,945,12,0,47.22,GOOD,GOOD,Weak,0,ConditionPortal
CA-000431,04/26/2025,VH-10249,WDG2114,Chevrolet Express,10398,Unknown,2,1,Dsl,,Electric,28364,2024-06-20,2029-04-23,Leased,4052,11,2,44.58,Worn Out,Good,Unknown,1,ConditionPortal
CA-000432,2024-02-23,VH-10195,MXV1700,Transit,256704,Average,,12,EV,AUTO,,256837,2024-01-24,2020-02-05,,4403,12,0,45.05,Worn Out,New,Replace,0,InspectionApp
CA-000433,2024-10-12,,DZR7393,Sedan,80969,Average,,7,Hybrid,AUTO,2500,97235,2024-04-21,2023-04-15,Second,1328,10,0,30.87,Good,GOOD,Good,0,ConditionPortal
CA-000434,2025-03-13,,CFW1370,Truck,72487,GOOD,0,6,Electric,AUTO,,77636,2024-11-18,2026-11-01,Company,1232,2,0,34.25,Good,Worn,WEAK,0,InspectionApp
CA-000435,2026-01-18,VH-10237,JXH0864,Sedan,61329,Average,3,6,Hybrid,Automatic,2000,76465,2025-05-17,2024-04-12,,3184,10,0,11.93,Worn Out,Good,New,0,ConditionPortal
CA-000436,2025-03-23,VH-10028,NCW3340,Ford F-150,33902,Unknown,,4,Gas,AUTO,1.8L,41536,2024-05-12,2026-08-02,Second,998,15,0,42.76,Worn Out,Poor,Unknown,1,InspectionApp
CA-000437,2024-12-25,VH-10234,GGF8456,Sedan,64592,Average,,5,Diesel,Automatic,Electric,69773,2024-07-30,2027-01-20,Pool,1459,7,2,54.4,Worn,Worn,New,0,MaintenanceRiskModel
CA-000438,2025-09-11,VH-10274,SAJ9829,Toyota Prius,213361,Average,0,13,Gas,AUTO,,219493,06/18/2025,2019-02-17,,2936,9,0,25.24,Poor,Needs Service,New,0,ConditionPortal
CA-000439,2026-01-10,VH-10363,ZUI7968,Camry,109656,GOOD,,13,Hybrid,Manual,2000,109683,08/27/2025,2017-09-29,Second,2454,20,0,9.16,Worn,Needs Service,Replace,0,ConditionPortal
CA-000440,2025-12-07,VH-10027,MYZ1532,Sedan,282684,Average,,13,EV,,,297093,2025-11-29,2016-09-30,Second,1602,20,1,47.95,Poor,GOOD,New,1,ConditionPortal
CA-000441,2026-02-16,VH-10189,FAR0545,Van,69669,GOOD,1,5,GAS,AUTO,Electric,69469,2025-03-06,06/05/2024,Pool,3483,0,0,41.11,Worn Out,Needs Service,WEAK,1,MaintenanceRiskModel
CA-000442,2025-02-10,,WSZ1156,GMC Sierra,238121,Unknown,0,11,Diesel,Automatic,Electric,237854,2024-10-14,2019-02-12,Second,4442,19,1,32.37,Poor,Worn,New,0,InspectionApp
CA-000443,02/23/2026,VH-10226,ERL5070,SUV,101465,Poor,,6,Diesel,Manual,3.5L,117440,2025-03-30,2023-09-25,Pool,1831,13,0,38.7,New,Poor,Good,0,MaintenanceRiskModel
CA-000444,2024-02-09,VH-10187,FRA6247,Truck,159788,Unknown,0,13,Electric,Manual,3.5L,170994,2023-05-27,11/03/2024,Company,2469,18,0,24.67,GOOD,New,Good,1,InspectionApp
CA-000445,2025-03-16,VH-10310,GVN1075,NV200,143379,Unknown,0,9,Diesel,,Electric,143114,2024-12-28,2022-06-11,,3033,10,1,27.3,GOOD,Good,New,0,InspectionApp
CA-000446,2024-02-08,VH-10297,YRP5424,Transit,166124,Unknown,0,10,DIESEL,,2500,166290,2023-04-29,2021-12-14,,3767,13,1,39.3,Good,Needs Service,WEAK,0,ConditionPortal
CA-000447,2025-02-18,VH-10160,YLG0207,F-150,49652,Poor,1,4,Electric,,,69656,2024-09-07,2024-09-04,Leased,1320,4,2,18.05,Worn,Good,Unknown,1,MaintenanceRiskModel
CA-000448,2024-02-02,VH-10192,QQX9268,Toyota Camry,199692,Poor,1,13,DIESEL,Automatic,,199775,2023-10-12,2019-11-11,Second,2049,17,0,44.86,Good,Poor,Replace,1,ConditionPortal
CA-000449,2024-05-10,VH-10063,KMZ1899,Sedan,41630,Good,2,3,DIESEL,,3.5L,51897,2023-06-24,2029-01-13,Second,4239,9,0,15.0,GOOD,Poor,Good,0,InspectionApp
CA-000450,2026-03-06,VH-10320,VLJ8987,Toyota Tacoma,281856,Unknown,2,14,Gasoline,,2500,281689,2025-10-24,2014-11-09,,1593,8,0,31.52,New,Poor,WEAK,1,ConditionPortal
CA-000451,2024-04-05,VH-10414,BKN4877,NV200,117863,Good,,10,Diesel,CVT,Electric,128867,2024-02-12,2020-08-18,Second,2782,4,0,12.49,Poor,Worn,WEAK,1,MaintenanceRiskModel
CA-000452,2024-11-15,VH-10337,TRL1747,Express,124517,Unknown,1,13,EV,Automatic,3.5L,132769,2024-04-27,2016-07-08,Leased,2582,20,2,14.22,Worn,Good,Replace,0,InspectionApp
CA-000453,2025-12-21,VH-10180,HBI7561,Ford F-150,118004,GOOD,2,9,Gas,Automatic,,132536,2025-01-31,2020-10-24,Leased,3674,3,0,39.3,Good,Worn,Unknown,0,MaintenanceRiskModel
CA-000454,2024-02-21,VH-10030,UXH0319,Freightliner M2,43063,Unknown,1,2,Diesel,Automatic,2.5L,48258,2023-07-11,02/18/2028,Company,1416,5,0,44.09,GOOD,Good,Unknown,0,MaintenanceRiskModel
CA-000455,2026-01-03,VH-10315,JUU7795,Sedan,63816,Unknown,1,5,Diesel,,Electric,79550,2025-09-04,2027-01-19,Second,3212,17,3,27.59,Good,New,New,1,MaintenanceRiskModel
CA-000456,2024-08-30,VH-10165,TLJ3701,Truck,165941,Unknown,,10,GAS,Manual,2000,190211,2023-09-22,2021-12-01,Pool,3035,17,0,11.09,Worn,GOOD,WEAK,0,MaintenanceRiskModel
CA-000457,2026-02-26,VH-10412,ZJJ0884,Heavy Truck,54447,Poor,,3,Diesel,,2500,74231,2025-12-11,2026-03-23,Leased,3084,9,1,24.25,New,Good,Good,1,ConditionPortal
CA-000458,01/24/2025,VH-10203,PSW0622,Truck,151126,GOOD,0,13,Gas,,2500,161491,2025-02-03,2016-10-09,Leased,3243,4,3,43.58,Worn Out,GOOD,WEAK,1,MaintenanceRiskModel
CA-000459,09/12/2025,VH-10162,BRE6768,Toyota Prius,125124,Poor,2,12,Gas,AUTO,Electric,125265,2024-12-28,08/22/2026,Second,4480,16,1,54.98,Worn,GOOD,Weak,1,InspectionApp
CA-000460,2025-12-10,VH-10236,FSR3291,Honda Civic,114099,Unknown,0,9,Gas,Manual,Electric,114016,2025-10-06,2020-10-19,Second,1622,10,2,25.21,Poor,New,Replace,0,MaintenanceRiskModel
CA-000461,04/16/2025,VH-10184,YRB9983,International MV607,184865,GOOD,,9,EV,Manual,2000,184893,2024-11-30,2021-12-04,Pool,2129,1,0,54.48,Worn,Needs Service,Unknown,1,MaintenanceRiskModel
CA-000462,01/03/2024,VH-10072,LPF4162,Ford F-150,232827,Poor,0,11,Electric,Manual,,232795,2023-06-07,2018-06-21,,861,9,0,27.97,Poor,New,New,0,MaintenanceRiskModel
CA-000463,2024-05-29,VH-10263,IWQ2863,International MV607,129088,Good,0,9,EV,AUTO,,138105,2024-05-28,2022-10-04,Pool,4134,0,0,10.19,New,Worn,WEAK,0,InspectionApp
CA-000464,2025-11-22,VH-10377,JIX1955,Sedan,234263,GOOD,0,11,Hybrid,,Electric,234026,2025-05-27,2019-07-06,,2864,20,2,41.39,Worn Out,Poor,Good,1,MaintenanceRiskModel
CA-000465,04/24/2026,VH-10028,NCW3340,F-150,33850,Poor,1,4,ELECTRIC,,Electric,56043,2025-06-01,2027-01-12,Pool,4285,14,0,9.41,GOOD,Good,Unknown,0,InspectionApp
CA-000466,2025-04-13,,SEC6328,Heavy Truck,19857,Poor,0,2,EV,,2500,41657,2024-09-09,2029-10-15,Second,2526,20,3,16.7,Worn,Needs Service,Unknown,1,InspectionApp
CA-000467,2025-11-20,,WFT3459,Sierra,135385,Unknown,3,8,EV,Automatic,3.5L,135111,2024-10-02,2021-06-17,,1492,4,0,32.61,GOOD,Good,Unknown,1,ConditionPortal
CA-000468,2024-09-01,VH-10204,TFR4050,SUV,98699,Average,,11,DIESEL,Automatic,2000,104302,2023-12-30,2020-06-26,Pool,3562,5,0,15.45,New,New,Unknown,1,MaintenanceRiskModel
CA-000469,2025-01-17,VH-10142,RNT0265,Toyota Tacoma,88310,Unknown,0,7,Diesel,AUTO,3.5L,88141,2024-06-01,10/28/2024,Pool,4180,8,0,40.95,New,GOOD,Unknown,0,InspectionApp
CA-000470,2024-12-31,VH-10280,TOP4232,Civic,187368,Average,,9,Electric,Manual,,187444,2024-12-17,2023-03-07,Pool,1709,5,2,47.1,Poor,Poor,New,0,MaintenanceRiskModel
CA-000471,2024-02-12,VH-10325,XAX7382,Civic,236654,Unknown,2,13,Electric,Manual,Electric,236698,2023-04-16,2018-10-07,,1378,10,1,18.75,New,Needs Service,Unknown,1,MaintenanceRiskModel
CA-000472,2024-08-31,VH-10412,ZJJ0884,MV607,54974,Good,1,3,Hybrid,AUTO,Electric,73264,2023-11-15,2026-03-23,Company,3415,6,2,54.47,Poor,Needs Service,Weak,1,MaintenanceRiskModel
CA-000473,2025-04-05,VH-X2411,AXN5145,Tacoma,56038,Good,,3,DIESEL,AUTO,5.3L,65911,05/27/2024,07/16/2027,Pool,1517,0,0,8.87,New,Good,Good,0,InspectionApp
CA-000474,2024-01-30,VH-10103,TCI2046,MV607,134608,GOOD,0,13,Gas,AUTO,2.5L,149145,2023-05-19,06/05/2024,Leased,2025,13,1,25.08,Worn Out,New,New,0,MaintenanceRiskModel
CA-000475,2024-11-05,,NKD5416,Ram 1500,60079,Unknown,,3,DIESEL,,6.7L,59968,2024-10-13,2028-02-03,Pool,3579,20,1,16.63,Poor,Poor,Weak,0,ConditionPortal
CA-000476,2025-05-05,VH-10017,HVV1626,Dodge Ram 1500,98706,Unknown,2,10,petrol,Automatic,3.5L,122043,2024-09-30,2022-03-22,Pool,1575,8,2,28.28,New,New,WEAK,0,MaintenanceRiskModel
CA-000477,2025-07-10,VH-10190,NVX1957,Truck,43496,Unknown,1,2,Diesel,,,50703,2024-08-05,2028-04-03,Company,3340,10,0,32.92,New,Needs Service,Good,0,ConditionPortal
CA-000478,12/28/2025,VH-10007,IGU3639,Truck,30480,Unknown,0,4,Hybrid,AUTO,,30508,2024-11-04,2025-11-05,Pool,2000,1,3,38.15,Poor,Needs Service,Weak,0,InspectionApp
CA-000479,2025-12-04,VH-10396,CNV7977,Explorer,121219,Average,2,7,Electric,Manual,2000,121266,2025-05-10,2022-01-31,,4115,13,2,8.95,GOOD,Worn,Unknown,0,InspectionApp
CA-000480,2025-08-10,,PFB1972,Nissan NV200,100615,Average,3,6,Hybrid,AUTO,Electric,100547,2025-04-01,2026-09-05,Leased,3902,5,3,20.28,GOOD,Needs Service,Unknown,0,MaintenanceRiskModel
CA-000481,2024-05-12,VH-10271,XHH0395,NV200,174687,Good,1,12,DIESEL,,,185553,2024-01-24,2025-08-30,,847,3,3,44.15,Worn,GOOD,New,1,InspectionApp
CA-000482,2024-07-14,VH-10126,IJQ8906,Transit,73386,Good,1,8,HYBRID,,,96052,2023-06-26,2022-09-11,Second,2116,18,3,41.12,New,Worn,WEAK,0,InspectionApp
CA-000483,2026-04-15,VH-10042,AMN9740,Express,137389,Average,,8,Diesel,AUTO,3.5L,154449,2025-05-15,2021-12-30,Company,2975,15,0,13.55,New,Worn,WEAK,0,MaintenanceRiskModel
CA-000484,2025-07-09,VH-10408,YYD9770,Toyota Tacoma,98447,GOOD,0,8,EV,AUTO,2.0L,116634,2024-06-11,2022-02-25,Pool,838,9,0,16.56,Worn Out,New,WEAK,0,InspectionApp
CA-000485,2024-04-19,VH-10151,SSC6539,Truck,206553,GOOD,0,11,Diesel,AUTO,,206354,2024-03-31,2021-06-16,Company,4012,2,0,16.98,Good,New,New,1,MaintenanceRiskModel
CA-000486,2024-04-22,VH-10201,FTK3244,Silverado,60124,Good,,3,Diesel,Automatic,3.5L,60235,2023-09-28,2025-01-25,Second,2477,15,3,40.24,Worn,Worn,Unknown,1,MaintenanceRiskModel
CA-000487,2025-03-30,VH-10329,AXN5145,Toyota Tacoma,62083,GOOD,,3,Electric,,Electric,72238,2025-02-17,2027-07-16,Company,1406,0,3,34.83,Good,Needs Service,Good,1,ConditionPortal
CA-000488,2025-10-31,,XDO8938,Tacoma,36685,Unknown,2,2,DIESEL,Automatic,2.5L,59633,2025-01-15,2028-04-18,Second,2323,15,0,39.5,Worn,GOOD,Weak,1,ConditionPortal
CA-000489,2024-10-02,VH-10384,SJG6326,Nissan NV200,217567,Poor,3,10,Gas,Manual,3.5L,226537,2024-06-11,2019-12-16,Company,1054,3,2,15.91,GOOD,Good,Weak,1,ConditionPortal
CA-000490,2026-03-31,VH-10369,WQL9936,Sedan,22619,Average,0,2,DIESEL,Manual,Electric,35061,2025-08-09,2028-06-12,Company,4432,6,2,39.01,Worn Out,Poor,New,0,ConditionPortal
CA-000491,2025-12-14,VH-10105,UXG4661,Freightliner M2,18871,Poor,,1,Electric,AUTO,2000,28375,2025-01-18,2027-12-22,Pool,3487,18,3,19.33,GOOD,Needs Service,Replace,0,ConditionPortal
CA-000492,2025-02-01,VH-10278,UHV7761,F-150,143679,GOOD,,7,Diesel,Automatic,2500,162591,2025-02-26,2023-11-03,Second,1393,6,2,39.16,Good,Needs Service,Weak,1,InspectionApp
CA-000493,2025-04-01,VH-10020,TQW4184,Freightliner M2,17668,Average,0,1,Electric,Manual,2000,42550,2024-12-16,2030-08-03,,953,11,0,20.84,GOOD,GOOD,Replace,1,InspectionApp
CA-000494,2025-04-04,VH-10393,ACN0996,Van,107981,Poor,1,5,Hybrid,,3.5L,128724,2024-09-22,2025-11-18,,3051,18,0,14.02,Poor,Worn,Good,0,InspectionApp
CA-000495,2024-08-08,VH-10034,QTW3719,Dodge Ram 1500,89240,GOOD,2,10,Gas,,Electric,89131,2023-09-05,2020-07-27,Leased,3056,5,0,10.18,Good,Good,Weak,0,InspectionApp
CA-000496,2024-11-08,VH-10101,FJD7818,Civic,14108,GOOD,,2,Hybrid,Automatic,2500,29053,2024-01-24,2027-02-13,Leased,3061,4,0,21.67,Worn,Poor,New,0,ConditionPortal
CA-000497,2025-11-06,VH-10037,HIC4445,Toyota Prius,249371,Average,1,12,Electric,Automatic,2000,249307,2025-09-30,2019-10-08,Company,2217,1,0,28.55,GOOD,Needs Service,Good,0,InspectionApp
CA-000498,2024-05-20,VH-10026,CTE4488,Chevrolet Silverado,226236,Average,0,13,DIESEL,,2000,248862,2023-04-09,2018-07-05,Second,3944,6,1,28.6,GOOD,Worn,WEAK,0,MaintenanceRiskModel
CA-000499,2024-11-22,VH-10130,NIN1394,Transit,144888,Poor,0,9,DIESEL,,,144594,2024-04-29,2022-04-16,Leased,3474,13,0,35.58,Worn Out,Poor,Weak,0,ConditionPortal
